index,frequency
0,1
20,1
628,1
19477,1
603806,1
18717986,1
580257575,1
17987984844,1
557627530164,1
17286453435085,1
535880056487649,1
219716011501099,1
254170060687666,1
502617298490461,1
8198800569073,1
254162817641276,1
502392764052363,1
1238232988046,1
38385222629431,1
370313614531560,1
4926032747161,1
152707015161997,1
635776035117902,1
37978201115739,1
357695947607122,1
433406645070369,1
321553405488623,1
132616126377706,1
12958482804895,1
401712966951752,1
158677670792309,1
1238072676782,1
38380252980261,1
370159555407298,1
150199895024,1
4656196745747,1
144342099118172,1
376463637759345,1
195576752808497,1
325481328197821,1
254381730362858,1
509179058421389,1
211613358427846,1
2987815416827,1
92622277921649,1
412405754628721,1
490154088778364,1
441467586474866,1
571442589028030,1
502526233272118,1
5375778800459,1
166649142814229,1
248353705356313,1
322310283218509,1
156079336004182,1
740317981225648,1
265382532660,1
8226858512461,1
255032613886293,1
529356447647889,1
17484137468560,1
542008261525380,1
409690367670760,1
405977093081564,1
290865580816478,1
921848522031,1
28577304182961,1
66268142690998,1
415055849459357,1
572307028528066,1
529323857773229,1
16473851354097,1
510689391977012,1
258433698652157,1
634790075389658,1
7413449540187,1
229816935745806,1
567298712273590,1
374066053884481,1
121251652687706,1
480288085395701,1
135621481612318,1
106124495077856,1
11346199490347,1
351732184200771,1
248529979473492,1
327774780851062,1
325478762613310,1
254302197243018,1
506713531706364,1
135182030262065,1
92501503220028,1
408661738878470,1
374089600520556,1
121981598406026,1
502916402663630,1
17471029937311,1
4,1
129,1
4000,1
124004,1
3844124,1
119167847,1
3694203258,1
114520301000,1
3550129331000,1
110054009261002,1
133161139167859,1
29853879299628,2
105841971307667,2
2587962614474,2
80226841048696,1
28147211567173,1
52935271601563,1
1736845686855,1
53842216292505,1
29852131106056,1
105787777306936,1
907948591814,1
28146406346236,1
52910309752516,1
963028366398,1
29853879358339,1
105841973127712,1
2588019035868,1
80228590111912,1
28201432526870,1
54616121352173,1
53843187955765,1
29882252667118,1
106721545699862,1
29854768772518,1
105869544967258,1
3442746061798,1
106725127915738,1
29965817464675,1
109312054424129,1
110160539224795,1
136463568045442,1
132229174504698,1
962974741633,1
29852216990628,1
105790439728671,1
990483665602,1
30704993633665,1
132226515662815,1
880550643264,1
27297069941189,1
26580881196062,1
4379030097121,1
135749933010752,1
110106488429311,1
134787993385437,1
80286360044545,1
29992300438493,1
110133026612484,1
135610677063800,1
105789554073797,1
963028364504,1
80226841048698,1
28147211567235,1
52935271603488,1
1736845746531,1
53842218142462,1
29852188454724,1
105789555115643,1
