index,frequency
0,1
5,1
9,1
20,1
33,1
45,2
108,1
169,1
179,1
195,1
269,1
298,1
299,1
412,1
471,1
563,1
598,1
628,1
635,2
1038,1
1113,1
1380,1
1395,2
2408,1
3362,1
3366,1
3857,1
4407,1
4433,1
4712,1
4820,1
4840,1
4913,1
4929,1
5246,1
5550,1
5673,1
5767,1
6057,1
7108,1
7691,1
7986,1
8353,1
9026,1
9033,1
9238,2
9243,1
9246,1
9269,1
9393,1
10572,1
11687,1
11715,1
11830,2
11913,1
12784,1
13001,1
13454,1
13459,1
13596,1
13597,1
13683,1
14433,1
14601,1
14756,1
14853,1
14891,1
14989,1
15086,1
15753,1
16046,1
17454,1
17457,1
17815,1
18260,1
18265,1
18268,1
18279,1
18417,1
18507,1
18562,1
19239,1
19240,1
19477,1
19685,1
19700,1
20619,1
20770,1
20801,1
23072,1
23108,1
26908,1
